#,Depth,Year,Abiskomyia,Chaetocladius type B,Chironomini larvula,Chironomus anthracinus,Cladotanytarsus mancus type,Corynocera oliveri type,Corynoneura arctica,Cricotopus cylindraceus type,Cricotopus intersectus type,Cricotopus type P,Derotanypus,Dicrotendipes nervosus,Heterotrissocladius sp,Heterotrissocladius grimshawi,Heterotrissocladius maeaeri type 1,Heterotrissocladius maeaeri type 2,Heterotrissocladius marcidus,Heterotrissocladius subpilosus,Limnophyes,Mesocricotopus,Micropsectra sp,Micropsectra type A,Micropsectra contracta type,Micropsectra insignilobus type,Micropsectra pallidula type,Paracladius,Parakiefferiella triquetra,Paratanytarsus,Phaenospectra flavipes,Procladius,Protanypus,Psectrocladius calcaratus type,Psectrocladius sordidellus type,Psectrocladius septentrionalis type,Pseudodiamesa,Rheocricotopus effusus,Sergentia,Stictochironomous type B,Stictochironomous rosenschoeldi type,Tanytarsus no spur,Tanytarsus lugens type,Tanytarsus mendax type,Tanytarsus pallidicornis type,Tribelos,Zalutschia lingulata pauca,Zalutschia type C,Zalutschia zalutschicola,Tanytarsini undifferentiated,Undifferentiated
1,0.5,2006.8,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0.5,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,8.5,3,0,0,0,0,3,21,0,18.5,10.5
2,1,2004,0,0,0,0,0,6,0,0,1,0.5,0,0,1.5,0.5,2,4,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,7,0.5,0,0,0,4,3,2,1,0,0,0,0,11,1,4,5.5
3,1.5,1994,0,0,0,1,0,1,0,0.5,0,2,0,0,0,2,3,3,0,0,0,0,0,0,7,0,0,1.5,0,1,0,4,0,0,4.5,0.5,0,0,0,3.5,5,1,0,0,3,0,5.5,6.5,0,6.5,7
4,2,1983,0,0,0,0,0,2.5,0,1,0,0,0,0,0.5,6.5,1.5,1.5,1,0,0,0,0,0,2,0,0,0,0,1,0,0.5,0,0,3,0.5,0.5,0,0,2,3.5,2,1,0,0,0,5,6,0.5,8,6.5
5,2.5,1971,0,0,0,0,0,2,0,1,0,2,0,0,0.5,2,0,1.5,0,0,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0,0,1.5,0,0,0,1,2,12,0,0,1,1,0,1.5,4,0,10,5
6,3,1957,0.5,0,0,0,0,1,0,0,0,0,0,0,0,1,1.5,1.5,0,0,0,0,2,0,2,0,0,1,0,4,0,0,0,1,4.5,0,0,0,0,1,6,2,0,0,0,0,2.5,6,0,5,12
7,3.5,1945,0,0,0,0.5,0,5,0,0.5,0,0,0,0,0,2,0.5,0.5,1,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,4.5,0,0,0,1,1,4,0,4,1,0,0,4,5.5,0,5.5,4
8,4,1936,0,0,0,0,0,3,0,0,0,0,0,0,0,2.5,1.5,0,0,0.5,0.5,0,0,0,4,0,0,0,0,2.5,0,3,0,0,5.5,0,0,0,3.5,1,10,0,0,0,3,0,8,5.5,0,13.5,6.5
9,4.5,1926,1,0,0,0,0,6,1,0,0.5,0,1,0,0,0.5,1.5,0.5,0,0,0.5,0,0,0,1,0,0,0,0,1.5,0,2,0,1,3,0,0,0,2,3,5.5,0,0,0,1,0,5.5,3,0,9,6.5
10,5,1916,0,0.5,0,0,0,3,0,0,0,0,0,0,0,0,0,2.5,0.5,1.5,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0.5,0,0,0,3.5,0,12,0,0,1,1,1,4,3,0,6,3
11,5.5,1907,0,0,2,0,0,6,0,0,0,2,0,0,0,1.5,1,1,0,0,0,0,0,0,4,0,0,0,0,5.5,0,3,0,0,7.5,0,0,0,1,2,15.5,0,2,1,1,0,14,2,0,15,4.5
12,6,1898,0,0,1,1,0,9,1,0.5,0.5,0,0,0.5,0,2.5,1,1.5,0,1,0,0,0,0,2,0,0,0,0,4.5,0,2,2,0,8.5,0,0,0,0.5,0,4.5,0,4,0,0,0,9.5,6.5,0,8,8
13,8,1862,1,0,0,1,1,10,0,1.5,0,0,0,0,1,3,0.5,0.5,1,0,0,0,0,0,2,0,0,1,0,5,0,3,0,0,4.5,0,0,0,1,4,7,5.5,5.5,2,3,0,7,3,0,0,3
14,10,1826,0,0,0,0,0,7,1,1,0,0,0,0,1,1.5,0,2,0.5,0,0,1,0,0,2,0,0,0,0,0,0,6,0,0,6.5,0,0,0,1,0,6,0,0,0,0,0,7.5,3,0,11,2
15,12,1790,0,0,0,0,0,11,0,1,0,0,1,0,0,2.5,1.5,0.5,0,0,0.5,0,0,0,4,0,0,0,0,0,1,5,0,0,2.5,0,0,0,0,1,4.5,1.5,2,0,0,0,0,5,0.5,4.5,1
16,15,1736,0,0,0,0,0,6,1,0,1,0,0,0,0,4.5,0,0.5,0.5,0,0,0,0,0,1,0,0,0,0,1.5,0,0,2,0,6,0,0,2,3,0,11.5,0,0,0,0,0,3.5,3.5,0,4.5,2.5
17,17,1700,1.5,0,0,3,0,7,0,3.5,2,0,1,0,0,0.5,2.5,5,0,0,1.5,0.5,2,1.5,7,0,0,0,0,1,0,0,0,0,5.5,0,0,0,0.5,1,3,3.5,0,6,0,0,0,6,1,16,3.5
18,20,1646,2.5,0,0,1,0,5,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4,0,0,0.5,0,0,0,1,0,0,3.5,0,0,0,0,0,17,0,0,0,1,0,3.5,2,0,3.5,1.5
19,22,1610,1,0,0,0,0,2,0,0.5,0,0,0,0,0,4.5,3,0.5,0,0,0.5,0,1.5,0,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,14.5,0,0,1,0,0,0,3.5,0.5,4,1.5
20,25,1556,0,0,0,0,0,1,1,0,0,0,0,1,0,4,0,3.5,1,0,0,0,0,0,2,2,0,0.5,1,0.5,0,1,2,1,1,0,0,0,2,0,27.5,0,0,0,2,0,1.5,1.5,0,3,0.5
