#,Depth,Year,Abiskomyia,Chaetocladius,Chaoborus,Cladotanytarsus mancus,Constempellina Thienemanniola,Corynocera ambigua,Corynocera oliveri type,Corynoneura arctica type,Corynoneura Thienemanniella ,Cricotopus,Cricotopus cylindraceus,Cricotopus intersectus,Cricotopus type P,Dicrotentipes notatus type,Eukiefferiella,Heterotrissocladius,Heterotrissocladius grimshawi,Heterotrissocladius maeaeri type 1,Heterotrissocladius maeaeri type 2,Heterotrissocladius marcidus type,Heterotrissocladius subpilosus type,Limnophyes,Mesocricotopus,Micropsectra sp,Micropsectra contracta type,Micropsectra insignilobus type,Micropsectra radialis type,Oliveridia,Paracladius,Parakiefferiella niger type,Parakiefferiella type B,Paratanytarsus,Polypedilum nubifer type,Procladius,Protanypus,Psectrocladius sp,Psectrocladius barbatipes type,Psectrocladius calcaratus type,Psectrocladius psilopterus type,Psectrocladius sordidellus type,Psectrocladius septentrionalis type,Pseudodiamesa,Pseudosmittia,Rheocricotopus effusus type,Rheotanytarsus,Sergentia,Smittia Parasmittia,Stictochironomous rosenschoeldi,Tanytarsus glabrescens type,Tanytarsus lactescens type,Tanytarsus lugens type,Tanytarsus pallidicornis type,Thienemanniella,Tribelos,Tvetenia bavarica type,Zalutschia lingulata pauca,Zalutschia type C,Tanytarsus no sp.,undifferentiated
1,1,2005,1,1.5,3,0,0,0,0,0,0,1,0,0.5,0,0,0,1,2.5,20,11,0.5,0,0.5,2,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1.5,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,7.5,2,8
2,1.5,1984,2.5,2.5,2,0,0,0,0,1,0,0,0.5,0,0,0,0,0.5,4,22,8.5,2,1,0,1,0,1,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,2.5
3,2,1964,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,6.5,62,6,4,0,0,4,1,1,0,0,0,3.5,0,0,0,0,0,1,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6.5,0,5
4,2.5,1943,1,0.5,3,0,0,0,0,0,0,0.5,0,1,0,0,0,2,4.5,46,3,6.5,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,7.5
5,3,1919,1,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0.5,3.5,18,2,1,0,0,0,0,1,1,1,0,6.5,0,0,0,0,1,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,2,5,0,3
6,3.5,1900,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0.5,2,15,6,0,0,0,1,0,1,0,0,0,5,0,0.5,0,0,1,0.5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,6,1,0,0,1,6.5,0,5.5
7,4,1885,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,16,6,2,0.5,0,0,0,2,0,0,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,1.5,3,3,7
8,4.5,1866,0,0,1,0,0,0,1,0,0,0.5,0,0.5,0,0,0,0.5,8.5,15.5,7,0.5,0,0,1,1,3,1,1,0,1.5,0,0,0,1,3,0.5,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,4,0,0,0,1,11,0,10
9,5,1847,1.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,13.5,8,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,9,0,0,0,0,6,0,4.5
10,5.5,1829,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,1,13,4,0.5,0.5,0,0.5,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0.5,0,0,0,1.5,0,0,0,0,0,4,0,1,0,4,1,0,0,1,6.5,1,4.5
