#,Depth,Year,Comp01,Comp02,err1,err2,Anom
1,1,2005,8.330982416,9.269444893,0.464215614,1.851317999,0.07211898
2,1.5,1984,7.709492787,8.862942988,0.42181278,1.841143182,-0.334382925
3,2,1964,7.951495218,9.459589859,0.495358019,1.859371336,0.262263946
4,2.5,1943,7.429798592,8.446111679,0.424332481,1.841722088,-0.751214234
5,3,1919,6.585428856,6.982110113,0.307609704,1.818380028,-2.2152158
6,3.5,1900,8.327999165,9.34545153,0.525554949,1.867642953,0.148125617
7,4,1885,7.039655407,8.293304406,0.426133731,1.84213793,-0.904021507
8,4.5,1866,8.462413124,9.17517352,0.35501072,1.826996116,-0.022152393
9,5,1847,6.080885807,6.748787721,0.359683051,1.827909761,-2.448538192
10,5.5,1829,7.3404267,8.125338695,0.344703291,1.825021248,-1.071987218
11,6,1810,7.787524257,7.895343636,0.406943794,1.837793636,-1.301982277
12,6.5,1791,8.214609548,8.490004456,0.639480938,1.90284473,-0.707321457
13,7,1772,7.987626628,8.795728823,0.397272716,1.83567639,-0.40159709
14,7.5,1753,8.36326003,8.949517442,0.461973399,1.850757039,-0.247808471
15,8,1734,7.414957129,7.339762343,0.346056233,1.82527727,-1.85756357
16,9,1696,7.531658108,8.716256131,0.418647679,1.840420625,-0.481069782
17,11,1620,7.037370333,7.14302566,0.322020111,1.820873183,-2.054300253
18,13,1544,7.302777723,7.974466977,0.339417224,1.824030221,-1.222858936
19,14,1506,7.709906252,8.804471155,0.437758162,1.844861622,-0.392854758
20,15,1468,7.664400335,8.722343189,0.409116977,1.838276067,-0.474982724
21,16,1430,7.070992782,8.155430701,0.400978871,1.836482031,-1.041895212
22,19,1316,7.511419494,8.025256698,0.403286405,1.83698724,-1.172069215
